date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"January 21, 1847 ",Doctrine and Covenants 136:8,1.0,Let each company bear an equal proportion according to the dividend of their,Let each company bear an equal proportion according to the dividend of their,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:8,1.0,property in taking the poor the widows the fatherless and the families of,property in taking the poor the widows the fatherless and the families of,Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 98:16,0.99303,Fathers to the children and the hearts of the children to their Fathers,of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"March 10, 1844 ",John 1:8,0.98574,was not that light but was sent to bear witness of that light,He was not that Light but was sent to bear witness of that Light,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:37,0.98162,by mine own voice out of the Heavens to bring forth my work,mine own voice out of the heavens to bring forth my work,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:37,0.97954,Jesus and the Apostles and from Jesus and his Apostles to Joseph Smith,Jesus and his apostles and from Jesus and his apostles to Joseph Smith,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:37,0.97904,days of Abraham Adam to Abraham from Abraham to Moses from Moses to,the days of Adam to Abraham from Abraham to Moses from Moses to,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:37,0.964,faithful in keeping all my words that I have given you from the,are faithful in keeping all my words that I have given you from,Doctrine and Covenants
"February 2, 1851 ",Doctrine and Covenants 2:2,0.96247,turn the hearts of the children to their fathers and the fathers to,to the fathers and the hearts of the children shall turn to their fathers,Doctrine and Covenants
"February 12, 1862 ",Doctrine and Covenants 107:55,0.95378,the Lord administered comfort unto Adam and said unto him I have set,And the Lord administered comfort unto Adam and said unto him I have,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:8,0.95363,and the Fatherless come not up into the ears of the Lord against,and the fatherless come not up into the ears of the Lord against this people,Doctrine and Covenants
"April 7, 1836 ",2 Corinthians 11:29,0.9455,and I am not weak Who is offended and I burn not O,Who is weak and I am not weak who is offended and I burn not,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:26,0.94488,thee If thou shalt find that which thy neighbor has lost thou shalt,If thou shalt find that which thy neighbor has lost thou shalt make,Doctrine and Covenants
"November 11, 1855 ",3 Nephi 13:10,0.94399,"thy will be done on Earth as it is done in heaven[""] was",Thy will be done on earth as it is in heaven,Book of Mormon
"June 15, 1878 ",2 Nephi 14:1,0.94357,"""That seven women shall take hold of one man saying and[""] At this",And in that day seven women shall take hold of one man saying,Book of Mormon
"June 15, 1878 ",Isaiah 4:1,0.94357,"""That seven women shall take hold of one man saying and[""] At this",And in that day seven women shall take hold of one man saying,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:38,0.94352,which foundation he did lay and was faithful and I took him to,Which foundation he did lay and was faithful and I took him to myself,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:36,0.94034,for they killed the prophets and they that were sent unto them and,For they killed the prophets and them that were sent unto them and,Doctrine and Covenants
"August 27, 1885 ",Luke 21:33,0.93977,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"August 27, 1885 ",Matthew 24:35,0.93977,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"August 27, 1885 ",Mark 13:31,0.93977,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"February 12, 1862 ",Doctrine and Covenants 107:55,0.93936,thee to be at the Head a multitude of Nations shall come of,set thee to be at the head a multitude of nations shall come,Doctrine and Covenants
"July 18, 1845 ",Isaiah 9:6,0.93909,it is a son for unto us a child is born unto us,For unto us a child is born unto us a son is given,Old Testament
"July 18, 1845 ",2 Nephi 19:6,0.93909,it is a son for unto us a child is born unto us,For unto us a child is born unto us a son is given,Book of Mormon
"August 20, 1843 ",Revelation 20:9,0.9387,Camp of the Saints and the Beloved City and fire came down from,camp of the saints about and the beloved city and fire came down,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:23,0.93744,contend one with another Cease to speak evil one of another Cease drunkenness,Cease to contend one with another cease to speak evil one of another,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:36,0.93677,they have shed innocent blood which crieth from the ground against them Therefore,they have shed innocent blood which crieth from the ground against them,Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 128:17,0.93646,to the Fathers lest I come and smite the earth with a curse,of the children to their fathers lest I come and smite the earth with a curse,Doctrine and Covenants
"January 1, 1877 ",Doctrine and Covenants 109:78,0.93131,Hear O Hear us O Lord in these our petitions and answer us,O hear O hear O hear us O Lord! And answer these petitions,Doctrine and Covenants
"June 30, 1844 ",John 15:14,0.92759,"Jesus saying ""ye are my friends if ye do whatsoever I command you[""]",Ye are my friends if ye do whatsoever I command you,New Testament
"February 26, 1879 ",Daniel 3:18,0.92597,serve thy Gods men worship the golden Image which thou hast set up,not serve thy gods nor worship the golden image which thou hast set up,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:21,0.92273,the Lord your God even the God of your Fathers the God of,for I am the Lord your God even the God of your fathers,Doctrine and Covenants
