phrase_woodruff,phrase_scripture,similarity_score,verse_title,volume_title
rights of the priesthood are inseparably connected with the powers of heaven and that the,that the rights of the priesthood are inseparably connected with the powers of heaven and,1.0000000000000002,Doctrine and Covenants 121:36,Doctrine and Covenants
let no man be afraid to lay down his life for my sake for he,let no man be afraid to lay down his life for my sake for whoso,0.9851797703513319,Doctrine and Covenants 103:27,Doctrine and Covenants
and appoint presidents and captains of hundreds and of fifties and of tens and let,and appoint presidents and captains of hundreds and of fifties and of tens,0.9689338639114783,Doctrine and Covenants 136:15,Doctrine and Covenants
sins and the gift of the holy ghost by the laying on of hands when,sins the gift of the holy ghost by the laying on of hands,0.963915262188204,Doctrine and Covenants 138:33,Doctrine and Covenants
powers of heaven cannot be controlled nor handled only upon the principles of righteousness such,that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness,0.9607230084238413,Doctrine and Covenants 121:36,Doctrine and Covenants
her sins have reached unto heaven and god hath remembered her iniquities and she will,for her sins have reached unto heaven and god hath remembered her iniquities,0.9507480867716777,Revelation 18:5,New Testament
she shall be utterly burned with fire for strong is the lord god who judgeth,shall be utterly burned with fire for strong is the lord god who judgeth her,0.9479902111187908,Revelation 18:8,New Testament
heaven and earth pass away my words shall not pass away but shall be fulfilled,heaven and earth shall pass away but my words shall not pass away,0.9437693381182897,Luke 21:33,New Testament
heaven and earth pass away my words shall not pass away but shall be fulfilled,heaven and earth shall pass away but my words shall not pass away,0.9437693381182897,Matthew 24:35,New Testament
heaven and earth pass away my words shall not pass away but shall be fulfilled,heaven and earth shall pass away but my words shall not pass away,0.9437693381182897,Mark 13:31,New Testament
turn the hearts of the children to their fathers and the fathers to the children,children to their fathers and the hearts of the fathers to the children,0.9430756674229711,Doctrine and Covenants 98:16,Doctrine and Covenants
turn the hearts of the fathers to the children and the hearts of the children,the hearts of the fathers to the children and the hearts of the children to,0.9414354710571019,Doctrine and Covenants 27:9,Doctrine and Covenants
as a hen gathereth her chickens under wings but ye would not and he then,a hen gathereth her chickens under her wings but ye would not!,0.9390398687889568,Doctrine and Covenants 43:24,Doctrine and Covenants
concerning his people let every man use all his influence and property to remove this,let every man use all his influence and property to remove this people to the,0.9383954887406356,Doctrine and Covenants 136:10,Doctrine and Covenants
