title,price,location,mileage
1996 Toyota camry LE Sedan 4D,"$2,000","Farmington, UT",251K miles
2021 Volkswagen atlas,"$30,799","Kaysville, UT",12K miles
2019 Tesla model 3,"$29,999","Layton, UT",43K miles
2011 Ford fusion SE Sedan 4D,"$4,099","Kaysville, UT",130K miles
2006 Volvo s80 2.5T Sedan 4D,"$2,025","Layton, UT",225K miles
2019 Toyota corolla LE Eco Sedan 4D,"$11,500","Layton, UT",76K miles
2017 Jaguar f-pace 35t R-Sport SUV 4D,"$21,750","Kaysville, UT",87K miles
2007 Dodge charger,"$2,600","Layton, UT",179K miles
2018 Honda civic LX Coupe 2D,"$14,800","Hill AFB, UT",70K miles
2001 BMW 3 series 325i Sedan 4D,"$4,000","Layton, UT",160K miles
2011 Hyundai sonata Limited Sedan 4D,"$4,000","Clearfield, UT",135K miles
2007 Audi a4 2.0T Quattro Sedan 4D,"$4,990","Layton, UT",84K miles
2017 Volkswagen jetta 2.0T GLI Sedan 4D,"$12,944","Clearfield, UT",65K miles
2012 Volkswagen jetta TDI Sedan 4D,"$6,999","Farmington, UT",128K miles
2005 Pontiac vibe base,"$5,995","Layton, UT",149K miles
2022 Tesla model 3 Long Range Sedan 4D,"$39,250","Layton, UT",27K miles
2003 Oldsmobile alero GL Coupe 2D,"$4,000","Layton, UT",52K miles
2022 Kia k5,"$29,499","Kaysville, UT",2.7K miles
2000 Honda prelude Coupe 2D,"$2,000","Layton, UT",195K miles
2003 Honda civic LX Coupe 2D,"$2,500","Layton, UT",199K miles
2003 Lexus IS 300 Sedan 4D,"$5,000","Syracuse, UT",199K miles
2008 Chevrolet cobalt Sport Sedan 4D,"$5,000","Clearfield, UT",181K miles
2019 Tesla,"$31,997","Layton, UT",38K miles
2010 Mitsubishi lancer GTS Sedan 4D,"$4,500","Farmington, UT",159K miles
2013 BMW 3 series 335i Sedan 4D,"$12,000","Layton, UT",146K miles · Dealership
2004 Kia sedona,"$2,000","Layton, UT",172K miles
2016 Nissan altima 2.5 S Sedan 4D,"$4,999","Layton, UT",200K miles
2020 Tesla model 3 Long Range Sedan 4D,"$35,000","Kaysville, UT",60K miles
2005 Honda civic GX Sedan 4D,"$3,500","Layton, UT",154K miles
