title,price,location,mileage
2005 Toyota prius Hatchback 4D,"$6,000","San Francisco, CA",102K miles
1967 Ford mustang Convertible 2D,Free,"Novato, CA",55K miles
2008 Chevrolet malibu LTZ Sedan 4D,"$2,950","Oakland, CA",149K miles
2009 Toyota prius Touring Hatchback 4D,"$2,850","San Francisco, CA",23K miles
2005 Honda civic Hybrid Sedan 4D,"$ 2,200","San Francisco, CA",188K miles
2005 Ford focus ZX4 SES Sedan 4D,"$2,500","Oakland, CA",150K miles
2013 Kia soul ! Wagon 4D,"$5,000","San Francisco, CA",152K miles
2008 Hyundai sonata,"$2,500","Pittsburg, CA",116K miles
2010 Honda accord LX-S Coupe 2D,"$5,500","Emeryville, CA",106K miles
2001 Honda civic EX Sedan 4D,"$2,600","Redwood City, CA",198K miles
2012 Hyundai sonata GLS Sedan 4D,  · ,"San Leandro, CA",116K miles
2016 Ford 2280222638966268 Titanium Sedan 4D,"$5,000","San Francisco, CA",232K miles
2012 Chevrolet cruze LS Sedan 4D,"$1,200","San Francisco, CA",120K miles
2006 Honda accord EX Coupe 2D,"$3,800","San Francisco, CA",206K miles
2009 Toyota prius Touring Hatchback 4D,"$2,800","San Francisco, CA",23K miles
2011 Ford fusion SE Sedan 4D,"$3,800","South San Francisco, CA",115K miles
2015 Nissan altima 2.5 S Sedan 4D,"$2,500","San Francisco, CA",240K miles
2020 Honda accord,"$1,800","Palo Alto, CA",50K miles
1986 Volkswagen cabriolet 5 speed convertable,"$4,100","San Francisco, CA",134K miles
2012 Chevrolet cruze LT Sedan 4D,"$1,500","Redwood City, CA",15K miles
2005 Toyota prius Hatchback 4D,"$4,000","Oakland, CA",130K miles
2014 Chevrolet cruze LT Sedan 4D,"$5,500","San Leandro, CA",102K miles
2004 Audi s4 Avant Quattro Wagon 4D,"$9,000","San Francisco, CA",80K miles
2011 Nissan altima 2.5 S Sedan 4D,"$4,000","Oakland, CA",119K miles
2002 Honda civic LX Sedan 4D,"$1,900","Oakland, CA",295K miles · Dealership
2012 Nissan sentra Sedan 4D,"$3,100","Richmond, CA",175K miles
2016 Nissan versa,"$4,000","Daly City, CA",90K miles
1999 Lexus GS 400 Sedan 4D,"$3,000","San Francisco, CA",235K miles
2012 Nissan maxima,"$2,800","Antioch, CA",250K miles
2005 BMW 3 series 325Ci Convertible 2D,"$4,000","San Francisco, CA",116K miles
2001 Mercedes-Benz clk-class CLK 320 Cabriolet 2D,"$2,850","Palo Alto, CA",145K miles
2002 Mercedes-Benz c-class C 320 Sedan 4D,"$2,400","Benicia, CA",180K miles
2013 Cadillac cts 3.6 Performance Collection Sedan 4D,"$2,700","Oakland, CA",118K miles
2001 Honda accord EX Coupe 2D,$800,"Oakland, CA",100K miles
1990 Ford mustang,"$4,500","San Francisco, CA",75K miles
2015 Honda accord EX Sedan 4D,"$11,250","San Francisco, CA",85K miles
2012 Nissan maxima SV Sedan 4D,"$6,500","San Francisco, CA",132K miles
2007 Toyota prius Hatchback 4D,"$7,000","San Francisco, CA",113K miles
2001 Volkswagen passat GLS 4Motion Sedan 4D,"$1,800","Oakland, CA",165K miles
2013 Toyota venza LE Wagon 4D,"$11,700","San Francisco, CA",78K miles
2008 Toyota prius Touring Hatchback 4D,"$5,500","Vallejo, CA",120K miles
2010 Infiniti g37s,"$5,000","South San Francisco, CA",126K miles
2005 Honda accord EX Sedan 4D,"$3,285","San Francisco, CA",190K miles
2015 Hyundai sonata Limited Sedan 4D,"$7,500","Fremont, CA",132K miles
1999 Infiniti g20 LX,"$2,000","San Francisco, CA",166K miles
2006 Nissan altima 2.5 S Sedan 4D,"$3,800","South San Francisco, CA",139K miles
2008 Volkswagen new beetle SE Convertible 2D,"$4,000","San Francisco, CA",90K miles
2012 Ford escape Hybrid Sport Utility 4D,"$5,900","San Francisco, CA",237K miles
2005 Toyota prius Hatchback 4D,"$4,000","Oakland, CA",171K miles
2010 Honda civic LX Sedan 4D,"$7,550","Pleasant Hill, CA",91K miles
2001 Ford mustang Deluxe Convertible 2D,$1,"Berkeley, CA",150K miles
2011 Honda civic,"$5,800","Vallejo, CA",125K miles
2007 Volvo c70 T5 Convertible 2D,"$6,900","Castro Valley, CA",88K miles
2006 Toyota prius Hatchback 4D,"$5,900","Oakland, CA",140K miles
2004 Toyota solara,"$1,000","Oakland, CA",275K miles
2023 Toyota corolla LE Sedan 4D,"$9,999,999","San Bruno, CA",300 miles
2017 Fiat 124 spider Classica Convertible 2D,"$13,900","San Francisco, CA",124K miles
2007 Honda accord,$1,"Hayward, CA",90K miles
2016 Nissan altima LS,"$8,250","Alameda, CA",97K miles
1994 Mitsubishi expo LRV Wagon 3D,"$3,000","San Francisco, CA",152K miles
2001 Audi tt Roadster Red Convertible,"$2,900","San Francisco, CA",168K miles
2005 Toyota solara SLE Convertible 2D,"$4,500","Vallejo, CA",75K miles
2012 Nissan sentra Sedan 4D,"$4,500","Richmond, CA",149K miles
2012 Nissan leaf,"$4,300","Belmont, CA",43K miles
2005 Pontiac g6 gt,"$3,900","Berkeley, CA",107K miles
2006 Mercedes-Benz slk-class SLK 350 Roadster 2D,"$5,000","Pittsburg, CA",145K miles
2012 Nissan leaf SL Hatchback 4D,"$3,500","San Mateo, CA",880K miles
2010 BMW x5 xDrive30i Sport Utility 4D,"$8,000","San Leandro, CA",11K miles
2014 Toyota camry LE Sedan 4D,"$11,900","San Francisco, CA",90K miles
