date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"March 10, 1844 ",John 1:8,0.98585,was not that light but was sent to bear witness of that light,He was not that Light but was sent to bear witness of that Light,New Testament
"June 15, 1878 ",Isaiah 4:1,0.94415,"""That seven women shall take hold of one man saying and[""] At this",And in that day seven women shall take hold of one man saying,Old Testament
"August 27, 1885 ",Matthew 24:35,0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"August 27, 1885 ",Luke 21:33,0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"August 27, 1885 ",Mark 13:31,0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away,New Testament
"July 18, 1845 ",Isaiah 9:6,0.93908,it is a son for unto us a child is born unto us,For unto us a child is born unto us a son is given,Old Testament
"June 30, 1844 ",John 15:14,0.92765,"Jesus saying ""ye are my friends if ye do whatsoever I command you[""]",Ye are my friends if ye do whatsoever I command you,New Testament
"February 26, 1879 ",Daniel 3:18,0.92622,serve thy Gods men worship the golden Image which thou hast set up,not serve thy gods nor worship the golden image which thou hast set up,Old Testament
"March 10, 1844 ",Malachi 4:6,0.88956,to the Fathers lest I come and smite the earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse,Old Testament
"October 6, 1891 ",Luke 12:32,0.88099,not little flock it is your father's good pleasure to give you the,Fear not little flock for it is your Father's good pleasure to give you the kingdom,New Testament
"April 15, 1837 ",Deuteronomy 23:21,0.87159,Thou shalt labour in the Temple of the Lord thy God Thou shalt,When thou shalt vow a vow unto the Lord thy God thou shalt,Old Testament
"October 19, 1851 ",Genesis 2:9,0.86612,tree of knowledge of good Evil in the midst of the garden little,life also in the midst of the garden and the tree of knowledge of good and evil,Old Testament
"September 13, 1846 ",Isaiah 28:13,0.86291,precept line upon line here a little and there a little until we,upon precept line upon line line upon line here a little and there,Old Testament
"August 25, 1844 ",Job 32:8,0.85782,in man and the inspiration of the Almighty giveth it understanding it is,But there is a spirit in man and the inspiration of the Almighty giveth them understanding,Old Testament
"September 9, 1838 ",Jeremiah 31:8,0.84801,travaileth with child together and a great company shall return thither I expect,the woman with child and her that travaileth with child together a great company shall return thither,Old Testament
"March 29, 1838 ",Matthew 12:39,0.84619,that there should no sign be given but the sign of the Prophet,after a sign and there shall no sign be given to it but the sign of the prophet Jonas,New Testament
"September 13, 1846 ",Isaiah 28:10,0.84537,precept line upon line here a little and there a little until we,For precept must be upon precept precept upon precept line upon line line upon line here a little and there a little,Old Testament
"December 31, 1840 ",Isaiah 49:23,0.83708,Kings that they m[a]y become their nursing fathers and Queens their nursing mothers,And kings shall be thy nursing fathers and their queens thy nursing mothers,Old Testament
"September 23, 1849 ",Jeremiah 30:21,0.83682,Nobles shall be of themselves And their Governor shall procede out of the,And their nobles shall be of themselves and their governor shall proceed from,Old Testament
"November 18, 1855 ",Mark 3:15,0.83367,have had power to heal the sick and cast out devils open the,And to have power to heal sicknesses and to cast out devils,New Testament
"October 20, 1855 ",Luke 2:11,0.82879,"in the City of David A Saviour which is Christ the Lord"" This",For unto you is born this day in the city of David a Saviour which is Christ the Lord,New Testament
"April 30, 1846 ",Psalms 8:4,0.82678,is man that thou art mindful of him or the sun of man,What is man that thou art mindful of him and the son of man that thou visitest him,Old Testament
"September 10, 1843 ",Jeremiah 31:6,0.8256,might cry arise ye and let us go up unto zion the city,shall cry Arise ye and let us go up to Zion unto the Lord our God,Old Testament
"February 26, 1879 ",Daniel 3:18,0.82483,hands But be it known unto the O King that we will not,But if not be it known unto thee O king that we will,Old Testament
"September 10, 1843 ",Isaiah 11:11,0.82134,hand again the second time to recover the remnant of his people assemble,set his hand again the second time to recover the remnant of his,Old Testament
"February 2, 1851 ",Malachi 4:6,0.82118,the children lest I come and smite the whole Earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse,Old Testament
"September 7, 1851 ",Mark 16:16,0.81974,is as great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,He that believeth and is baptized shall be saved but he that believeth not shall be damned,New Testament
"October 20, 1855 ",Luke 2:10,0.81322,them fear not for behold I bring you good tidings of great Joy,And the angel said unto them Fear not for behold I bring you good tidings of great joy which shall be to all people,New Testament
"February 26, 1879 ",Daniel 3:12,0.81321,serve thy Gods men worship the golden Image which thou hast set up,regarded thee they serve not thy gods nor worship the golden image which thou hast set up,Old Testament
"January 22, 1843 ",Matthew 16:18,0.80856,this rock I will build my Church and the gates of hell shall,rock I will build my church and the gates of hell shall not prevail against it,New Testament
"January 3, 1838 ",John 15:13,0.80773,love hath any man than that he lay down his life for his,Greater love hath no man than this that a man lay down his life for his friends,New Testament
"September 9, 1843 ",Judges 10:6,0.80609,to take away the gods of the gods of the gentiles the Lord,gods of Zidon and the gods of Moab and the gods of the,Old Testament
"March 8, 1857 ",Matthew 7:14,0.8048,"""strait is the gate and narrow the way that leadeth unto Eternal life",Because strait is the gate and narrow is the way which leadeth unto life and few there be that find it,New Testament
"November 2, 1858 ",Ecclesiastes 4:13,0.8038,that a wise child was Better than an old and foolish king I,Better is a poor and a wise child than an old and foolish king who will no more be admonished,Old Testament
"October 19, 1883 ",Exodus 19:6,0.80056,"""ye shall be unto me a kingdom of Priests"" W Woodruff spoke 20",And ye shall be unto me a kingdom of priests and an holy,Old Testament
"April 15, 1837 ",Deuteronomy 4:29,0.79685,Thou shalt labour in the Temple of the Lord thy God Thou shalt,But if from thence thou shalt seek the Lord thy God thou shalt,Old Testament
"December 4, 1853 ",Matthew 7:1,0.79309,from this text Judge not that ye be not Judged He gave much,Judge not that ye be not judged,New Testament
"November 11, 1855 ",Matthew 6:10,0.79249,"thy will be done on Earth as it is done in heaven[""] was",Thy kingdom come Thy will be done in earth as it is in heaven,New Testament
"January 13, 1856 ",Malachi 4:5,0.79244,will send you Elijah the prophet before the coming of the great and,Behold I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord,Old Testament
"April 7, 1848 ",Matthew 5:25,0.79228,ch of math Agree with thine Adversary quickly while thou art in the,Agree with thine adversary quickly whiles thou art in the way with him,New Testament
"January 30, 1853 ",Numbers 32:33,0.79035,the kingdom of the Kingdom of God and the priesthood and Kingdom of,of Joseph the kingdom of Sihon king of the Amorites and the kingdom,Old Testament
"April 7, 1844 ",Luke 15:7,0.7872,joy over one sinner that repenteth than over ninety and nine just persons,sinner that repenteth more than over ninety and nine just persons which need no repentance,New Testament
"January 21, 1847 ",Exodus 3:15,0.78495,the Lord your God even the God of your Fathers the God of,of Israel The Lord God of your fathers the God of Abraham the,Old Testament
"February 26, 1879 ",Daniel 6:5,0.78486,against this Daniel except we find it against him concerning the Law of,Then said these men We shall not find any occasion against this Daniel except we find it against him concerning the law of his God,Old Testament
"January 21, 1844 ",Malachi 4:6,0.78228,to their fathers lest I come and smite the whole earth with a,the heart of the children to their fathers lest I come and smite the earth with a curse,Old Testament
"February 26, 1879 ",Isaiah 66:16,0.78072,Lord plead with all flesh and the slain of the Lord will be,For by fire and by his sword will the Lord plead with all flesh and the slain of the Lord shall be many,Old Testament
"March 10, 1844 ",Matthew 3:3,0.77614,the wilderness prepare ye the way of the Lord and make his paths,The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight,New Testament
"March 10, 1844 ",Mark 1:3,0.77614,the wilderness prepare ye the way of the Lord and make his paths,The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight,New Testament
"September 8, 1851 ",Numbers 15:3,0.7753,the Lord Bring an offering to the Lord I will make an Offering,And will make an offering by fire unto the Lord a burnt offering,Old Testament
"March 29, 1838 ",Luke 11:29,0.77382,that there should no sign be given but the sign of the Prophet,is an evil generation they seek a sign and there shall no sign be given it but the sign of Jonas the prophet,New Testament
"January 21, 1847 ",1 Kings 6:1,0.77314,children of Israel out of the Land of Egypt and my arm is,the children of Israel were come out of the land of Egypt in,Old Testament
"October 26, 1840 ",Job 1:21,0.77292,gave and the Lord hath taken away and blessed be the name of,I return thither the Lord gave and the Lord hath taken away blessed be the name of the Lord,Old Testament
"June 1, 1843 ",Romans 16:24,0.77175,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you all Amen,New Testament
