date,verse_title,total_match_indices,score,matches_woodruff,matches_scriptures
"January 13, 1856 ",Doctrine and Covenants 98:16,"[(5380, 535)]",0.99315,Fathers to the children and the hearts of the children to their Fathers,of the children to their fathers and the hearts of the fathers to the children
"March 10, 1844 ",John 1:8,"[(3796, 218)]",0.98585,was not that light but was sent to bear witness of that light,He was not that Light but was sent to bear witness of that Light
"February 2, 1851 ",Doctrine and Covenants 2:2,"[(8539, 436)]",0.96246,turn the hearts of the children to their fathers and the fathers to,to the fathers and the hearts of the children shall turn to their fathers
"April 7, 1836 ",2 Corinthians 11:29,"[(4906, 243)]",0.94552,and I am not weak Who is offended and I burn not O,Who is weak and I am not weak who is offended and I burn not
"June 15, 1878 ",Isaiah 4:1,"[(14758, 103)]",0.94415,"""That seven women shall take hold of one man saying and[""] At this",And in that day seven women shall take hold of one man saying
"June 15, 1878 ",2 Nephi 14:1,"[(14758, 315)]",0.94415,"""That seven women shall take hold of one man saying and[""] At this",And in that day seven women shall take hold of one man saying
"November 11, 1855 ",3 Nephi 13:10,"[(5794, 399)]",0.94403,"thy will be done on Earth as it is done in heaven[""] was",Thy will be done on earth as it is in heaven
"January 21, 1847 ",Doctrine and Covenants 136:7,"[(7575, 666), (7576, 667), (7577, 668), (7578, 669), (7579, 670), (7580, 671), (7581, 672)]",0.94212,Farming utensils to go as Pioneers to prepare for puting in spring crops Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the armey that the cries of the widow and the Fatherless come not up into the ears of the Lord against this people Let each company prepare houses and fields for raising grain for those who are to remain behind this season and this is the will,to take teams seeds and farming utensils to go as pioneers to prepare for putting in spring crops Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the army that the cries of the widow and the fatherless come not up into the ears of the Lord against this people Let each company prepare houses and fields for raising grain for those who are to remain behind this season and this is the will of the Lord concerning his people
"August 27, 1885 ",Matthew 24:35,"[(15341, 193)]",0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away
"August 27, 1885 ",Mark 13:31,"[(15341, 199)]",0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away
"August 27, 1885 ",Luke 21:33,"[(15341, 217)]",0.93995,Earth Pass away my words shall not pass away but shall all be,Heaven and earth shall pass away but my words shall not pass away
"July 18, 1845 ",Isaiah 9:6,"[(3402, 108)]",0.93908,it is a son for unto us a child is born unto us,For unto us a child is born unto us a son is given
"July 18, 1845 ",2 Nephi 19:6,"[(3402, 320)]",0.93908,it is a son for unto us a child is born unto us,For unto us a child is born unto us a son is given
"January 21, 1847 ",Doctrine and Covenants 136:23,"[(7605, 681)]",0.93729,contend one with another Cease to speak evil one of another Cease drunkenness,Cease to contend one with another cease to speak evil one of another
"March 10, 1844 ",Doctrine and Covenants 128:17,"[(3849, 616)]",0.93688,to the Fathers lest I come and smite the earth with a curse,of the children to their fathers lest I come and smite the earth with a curse
"September 15, 1884 ",Doctrine and Covenants 121:36,"[(15362, 577), (15363, 578)]",0.93391,Priesthood are inseparably connected with the Powers of heavens and that the powers of heaven cannot be controlled nor handled only upon the principles of Righteousness,That the rights of the priesthood are inseparably connected with the powers of heaven and that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness
"January 1, 1877 ",Doctrine and Covenants 109:78,"[(14182, 564)]",0.93169,Hear O Hear us O Lord in these our petitions and answer us,O hear O hear O hear us O Lord! And answer these petitions
"June 30, 1844 ",John 15:14,"[(3556, 225)]",0.92765,"Jesus saying ""ye are my friends if ye do whatsoever I command you[""]",Ye are my friends if ye do whatsoever I command you
"January 21, 1847 ",Doctrine and Covenants 136:25,"[(7607, 682), (7608, 683), (7609, 684)]",0.92605,thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straitway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if thou canst not repay then go straightway and tell thy neighbor lest he condemn thee If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again
"January 21, 1847 ",Doctrine and Covenants 136:31,"[(7619, 690), (7620, 691), (7621, 692), (7622, 693)]",0.91095,that I have for them even the glory of Zion And he that will not bear chastizment is not worthy of my Kingdom Let him that is ignorant learn wisdom by humbling himself and calling upon the Lord his God that his eyes may be opened that he may see and his,to receive the glory that I have for them even the glory of Zion and he that will not bear chastisement is not worthy of my kingdom Let him that is ignorant learn wisdom by humbling himself and calling upon the Lord his God that his eyes may be opened that he may see and his ears opened that he may hear
"January 21, 1847 ",Doctrine and Covenants 136:42,"[(7645, 706)]",0.90932,lest judgment come upon you and your faith fail you and your enemies triumph over you So no more at present Amen and Amen,your faith fail you and your enemies triumph over you So no more at present Amen and Amen
"February 26, 1879 ",Doctrine and Covenants 133:33,"[(14973, 644), (14974, 645)]",0.90766,shall be filled with Songs of Everlasting Joy Behold this is the Blessing of the Everlasting God upon the tribes of Israel And the richer blessing,And they shall be filled with songs of everlasting joy Behold this is the blessing of the everlasting God upon the tribes of Israel and the richer blessing upon the head of Ephraim and his fellows
"March 8, 1857 ",Doctrine and Covenants 132:22,"[(11626, 633)]",0.90548,"""strait is the gate and narrow the way that leadeth unto Eternal life",For strait is the gate and narrow the way that leadeth unto the
"October 19, 1851 ",Abraham 5:9,"[(9084, 733)]",0.90407,tree of knowledge of good Evil in the midst of the garden little,also in the midst of the garden and the tree of knowledge of good and evil
"December 31, 1860 ",Joseph Smith--History 1:69,"[(13185, 758)]",0.90182,of Aaron OT holds the priesthood keys of the ministering of angels will,Priesthood of Aaron which holds the keys of the ministering of angels and
"December 31, 1860 ",Doctrine and Covenants 13:1,"[(13185, 444)]",0.90182,of Aaron OT holds the priesthood keys of the ministering of angels will,Priesthood of Aaron which holds the keys of the ministering of angels and
"February 2, 1851 ",Doctrine and Covenants 98:16,"[(8539, 535)]",0.89909,turn the hearts of the children to their fathers and the fathers to,of the children to their fathers and the hearts of the fathers to the children
"February 26, 1879 ",Daniel 3:18,"[(14905, 161), (14906, 162)]",0.89715,hands But be it known unto the O King that we will not serve thy Gods men worship the golden Image which thou hast set up,But if not be it known unto thee O king that we will not serve thy gods nor worship the golden image which thou hast set up
