date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"December 20, 1848 ",Genesis 10:27,1.0,W X Y Z and 1 2 3 4 5,And Hadoram and Uzal and Diklah,Old Testament
"December 20, 1848 ",Joshua 15:28,1.0,W X Y Z and 1 2 3 4 5,And Hazarshual and Beersheba and Bizjothjah,Old Testament
"December 20, 1848 ",Nehemiah 12:42,1.0,W X Y Z and 1 2 3 4 5,And Maaseiah and Shemaiah and Eleazar and Uzzi and Jehohanan,Old Testament
"December 20, 1848 ",2 Chronicles 11:9,1.0,W X Y Z and 1 2 3 4 5,And Adoraim and Lachish and Azekah,Old Testament
"December 20, 1848 ",Nehemiah 10:26,1.0,W X Y Z and 1 2 3 4 5,And Ahijah Hanan Anan,Old Testament
"December 20, 1848 ",Joshua 19:43,1.0,W X Y Z and 1 2 3 4 5,And Elon and Thimnathah and Ekron,Old Testament
"December 20, 1848 ",Joshua 15:22,1.0,W X Y Z and 1 2 3 4 5,And Kinah and Dimonah and Adadah,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:42,1.0,upon you and your faith fail you and your enemies,upon you and your faith fail you and your enemies,Doctrine and Covenants
"February 26, 1879 ",Doctrine and Covenants 84:118,1.0,for with you saith the Lord Almighty I will rend,For with you saith the Lord Almighty I will rend,Doctrine and Covenants
"December 20, 1848 ",Joshua 15:27,1.0,W X Y Z and 1 2 3 4 5,And Hazargaddah and Heshmon and Bethpalet,Old Testament
"December 20, 1848 ",Ezra 10:37,1.0,W X Y Z and 1 2 3 4 5,Mattaniah Mattenai and Jaasau,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:8,1.0,the fatherless and the families of those who have gone,the fatherless and the families of those who have gone,Doctrine and Covenants
"December 20, 1848 ",Joshua 19:19,1.0,W X Y Z and 1 2 3 4 5,And Hapharaim and Shion and Anaharath,Old Testament
"December 20, 1848 ",1 Chronicles 3:7,1.0,W X Y Z and 1 2 3 4 5,And Nogah and Nepheg and Japhia,Old Testament
"December 20, 1848 ",1 Chronicles 8:20,1.0,W X Y Z and 1 2 3 4 5,And Elienai and Zilthai and Eliel,Old Testament
"December 20, 1848 ",Joshua 15:43,1.0,W X Y Z and 1 2 3 4 5,And Jiphtah and Ashnah and Nezib,Old Testament
"December 20, 1848 ",Esther 9:9,1.0,W X Y Z and 1 2 3 4 5,And Parmashta and Arisai and Aridai and Vajezatha,Old Testament
"December 20, 1848 ",Joshua 18:23,1.0,W X Y Z and 1 2 3 4 5,And Avim and Parah and Ophrah,Old Testament
"December 20, 1848 ",Numbers 32:35,1.0,W X Y Z and 1 2 3 4 5,And Atroth Shophan and Jaazer and Jogbehah,Old Testament
"December 20, 1848 ",Joshua 15:58,1.0,W X Y Z and 1 2 3 4 5,Halhul Bethzur and Gedor,Old Testament
"December 20, 1848 ",Joshua 15:30,1.0,W X Y Z and 1 2 3 4 5,And Eltolad and Chesil and Hormah,Old Testament
"December 20, 1848 ",1 Chronicles 7:37,1.0,W X Y Z and 1 2 3 4 5,Bezer and Hod and Shamma and Shilshah and Ithran and Beera,Old Testament
"December 20, 1848 ",Joshua 19:21,1.0,W X Y Z and 1 2 3 4 5,And Remeth and Engannim and Enhaddah and Bethpazzez,Old Testament
"December 20, 1848 ",2 Chronicles 11:7,1.0,W X Y Z and 1 2 3 4 5,And Bethzur and Shoco and Adullam,Old Testament
"January 13, 1856 ",Doctrine and Covenants 27:9,1.0,to the children and the hearts of the children to,to the children and the hearts of the children to,Doctrine and Covenants
"December 20, 1848 ",Ezra 10:41,1.0,W X Y Z and 1 2 3 4 5,Azareel and Shelemiah Shemariah,Old Testament
"December 20, 1848 ",Joshua 18:27,1.0,W X Y Z and 1 2 3 4 5,And Rekem and Irpeel and Taralah,Old Testament
"December 20, 1848 ",Joshua 18:26,1.0,W X Y Z and 1 2 3 4 5,And Mizpeh and Chephirah and Mozah,Old Testament
"December 20, 1848 ",Joshua 15:34,1.0,W X Y Z and 1 2 3 4 5,And Zanoah and Engannim Tappuah and Enam,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost,If thou shalt find that which thy neighbor has lost,Doctrine and Covenants
"December 20, 1848 ",1 Chronicles 8:31,1.0,W X Y Z and 1 2 3 4 5,And Gedor and Ahio and Zacher,Old Testament
"December 20, 1848 ",Genesis 25:15,1.0,W X Y Z and 1 2 3 4 5,Hadar and Tema Jetur Naphish and Kedemah,Old Testament
"December 20, 1848 ",1 Chronicles 14:6,1.0,W X Y Z and 1 2 3 4 5,And Nogah and Nepheg and Japhia,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:42,1.0,triumph over you So no more at present Amen and Amen,triumph over you So no more at present Amen and Amen,Doctrine and Covenants
"December 20, 1848 ",1 Chronicles 4:36,1.0,W X Y Z and 1 2 3 4 5,And Elioenai and Jaakobah and Jeshohaiah and Asaiah and Adiel and Jesimiel and Benaiah,Old Testament
"December 20, 1848 ",Joshua 15:35,1.0,W X Y Z and 1 2 3 4 5,Jarmuth and Adullam Socoh and Azekah,Old Testament
"December 20, 1848 ",Joshua 19:5,1.0,W X Y Z and 1 2 3 4 5,And Ziklag and Bethmarcaboth and Hazarsusah,Old Testament
"December 20, 1848 ",1 Chronicles 8:5,1.0,W X Y Z and 1 2 3 4 5,And Gera and Shephuphan and Huram,Old Testament
"December 20, 1848 ",Esther 9:7,1.0,W X Y Z and 1 2 3 4 5,And Parshandatha and Dalphon and Aspatha,Old Testament
"December 20, 1848 ",Joshua 13:18,1.0,W X Y Z and 1 2 3 4 5,And Jahazah and Kedemoth and Mephaath,Old Testament
"December 20, 1848 ",Joshua 15:53,1.0,W X Y Z and 1 2 3 4 5,And Janum and Bethtappuah and Aphekah,Old Testament
"December 20, 1848 ",1 Chronicles 25:4,1.0,W X Y Z and 1 2 3 4 5,and Jerimoth Hananiah Hanani Eliathah Giddalti and Romamtiezer Joshbekashah Mallothi Hothir and Mahazioth,Old Testament
"December 20, 1848 ",1 Chronicles 8:15,1.0,W X Y Z and 1 2 3 4 5,And Zebadiah and Arad and Ader,Old Testament
"December 20, 1848 ",Joshua 19:42,1.0,W X Y Z and 1 2 3 4 5,And Shaalabbin and Ajalon and Jethlah,Old Testament
"December 20, 1848 ",Joshua 15:38,1.0,W X Y Z and 1 2 3 4 5,And Dilean and Mizpeh and Joktheel,Old Testament
"December 20, 1848 ",Ezra 10:38,1.0,W X Y Z and 1 2 3 4 5,And Bani and Binnui Shimei,Old Testament
