date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"October 19, 1851 ",Genesis 2:9,0.86416,knowledge of good Evil in the midst of the garden,midst of the garden and the tree of knowledge of good and evil,Old Testament
"January 21, 1847 ",Exodus 6:13,0.85153,the children of Israel out of the Land of Egypt,unto Pharaoh king of Egypt to bring the children of Israel out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 3:15,0.82966,the God of your Fathers the God of Abraham and,fathers the God of Abraham the God of Isaac and,Old Testament
"January 21, 1847 ",Exodus 7:4,0.81555,the children of Israel out of the Land of Egypt,and my people the children of Israel out of the land of Egypt by great judgments,Old Testament
"October 6, 1891 ",Exodus 18:19,0.80582,Saints will hearken unto my voice and the counsel of,Hearken now unto my voice I will give thee counsel,Old Testament
"July 5, 1884 ",Genesis 18:18,0.80233,this Nation and all the Nations of the Earth shall,nation and all the nations of the earth shall be blessed in him,Old Testament
"January 23, 1857 ",Exodus 1:3,0.79535,Benjamin Brown and Benjamin Lynn Clapp and George Benjamin Wallace,Issachar Zebulun and Benjamin,Old Testament
"February 12, 1862 ",Genesis 45:25,0.79512,they came out of Egypt into the land of Canaan,And they went up out of Egypt and came into the land of Canaan unto Jacob their father,Old Testament
"January 21, 1847 ",Genesis 31:53,0.78722,the God of your Fathers the God of Abraham and,The God of Abraham and the God of Nahor the,Old Testament
"January 6, 1862 ",Exodus 31:3,0.75975,it he was filled with the spirit of God and,And I have filled him with the spirit of God,Old Testament
"January 21, 1847 ",Exodus 3:16,0.75706,the God of your Fathers the God of Abraham and,unto them The Lord God of your fathers the God,Old Testament
"August 28, 1846 ",Genesis 19:19,0.75503,Son thou hast spoken well I have all thou hast,and thou hast magnified thy mercy which thou hast shewed,Old Testament
"June 12, 1859 ",Genesis 4:16,0.75323,dwelt in that land as the garden of Eden was,and dwelt in the land of Nod on the east of Eden,Old Testament
"June 13, 1895 ",Genesis 46:7,0.74963,4 sons and 5 daughters 3 sons died in Early,His sons and his sons' sons with him his daughters,Old Testament
"January 21, 1847 ",Exodus 12:51,0.74886,the children of Israel out of the Land of Egypt,Lord did bring the children of Israel out of the land of Egypt by their armies,Old Testament
"April 5, 1863 ",Leviticus 24:16,0.74528,told him in the name of the Lord that He,And he that blasphemeth the name of the Lord he,Old Testament
"February 12, 1862 ",Genesis 12:5,0.74456,they came out of Egypt into the land of Canaan,went forth to go into the land of Canaan and into the land of Canaan they came,Old Testament
"December 31, 1857 ",Genesis 18:25,0.74138,the wicked will slay the wicked slay the wicked until,to slay the righteous with the wicked and that the,Old Testament
"August 14, 1895 ",Genesis 37:10,0.73984,to go to the office He told his Father he,And he told it to his father and to his,Old Testament
"July 1, 1838 ",Leviticus 23:24,0.73439,day of the month and the first day of the,month in the first day of the month shall ye,Old Testament
"December 20, 1850 ",Genesis 26:3,0.73086,unto thee thy duty yea and give unto thee many,and will bless thee for unto thee and unto thy,Old Testament
"February 18, 1840 ",Genesis 36:42,0.73053,Granvill the late Duke father of the present Duke of,Duke Kenaz duke Teman duke Mibzar,Old Testament
"February 18, 1840 ",Genesis 36:41,0.73053,Granvill the late Duke father of the present Duke of,Duke Aholibamah duke Elah duke Pinon,Old Testament
"April 30, 1847 ",Genesis 41:7,0.73045,awoke and behold it was a dream 11 m May,full ears And Pharaoh awoke and behold it was a dream,Old Testament
"January 1, 1877 ",Exodus 8:21,0.72926,of thy servants and we Pray O God that thy,thy servants and upon thy people and into thy houses,Old Testament
"October 19, 1883 ",Leviticus 20:26,0.72913,"unto the House of Israel ""ye shall be unto me",And ye shall be holy unto me for I the,Old Testament
"January 21, 1847 ",Exodus 32:4,0.72874,the children of Israel out of the Land of Egypt,Israel which brought thee up out of the land of Egypt,Old Testament
"July 1, 1838 ",Genesis 8:13,0.72844,day of the month and the first day of the,first year in the first month the first day of,Old Testament
"January 6, 1862 ",Exodus 35:31,0.72837,it he was filled with the spirit of God and,And he hath filled him with the spirit of God,Old Testament
"January 21, 1847 ",Exodus 33:1,0.72708,the children of Israel out of the Land of Egypt,out of the land of Egypt unto the land which,Old Testament
"March 24, 1844 ",Numbers 3:27,0.72246,his family and all the Smith family the heads of,the family of the Izeharites and the family of the,Old Testament
"December 20, 1850 ",Genesis 49:25,0.72226,and spiritual the blessings of Heaven and the blessings of,blessings of heaven above blessings of the deep that lieth under blessings of the breasts and of the womb,Old Testament
"January 19, 1847 ",Exodus 15:26,0.72068,Heaven to keep all the commandments and statutes of the,his commandments and keep all his statutes I will put,Old Testament
"December 31, 1836 ",Exodus 38:26,0.72035,1st I Travled six thousand five hundred and fifty seven,for six hundred thousand and three thousand and five hundred and fifty men,Old Testament
"February 12, 1862 ",Leviticus 25:38,0.71687,they came out of Egypt into the land of Canaan,out of the land of Egypt to give you the land of Canaan and to be your God,Old Testament
"October 8, 1876 ",Genesis 25:26,0.71555,Born But Esau took hold of the heel of Jacob,took hold on Esau's heel and his name was called,Old Testament
"January 21, 1847 ",Exodus 13:18,0.71226,the children of Israel out of the Land of Egypt,the wilderness of the Red sea and the children of Israel went up harnessed out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 2:23,0.71201,the children of Israel out of the Land of Egypt,the king of Egypt died and the children of Israel,Old Testament
"February 18, 1840 ",Genesis 36:15,0.71055,Granvill the late Duke father of the present Duke of,of Eliphaz the firstborn son of Esau duke Teman duke Omar duke Zepho duke Kenaz,Old Testament
"March 23, 1857 ",Numbers 6:24,0.71033,of the Lord and we pray thee to Bless and,The Lord bless thee and keep thee,Old Testament
"January 7, 1868 ",Exodus 20:10,0.70927,of the seventh Day Sabbath and spoke of the organization,But the seventh day is the sabbath of the Lord,Old Testament
"January 21, 1847 ",Exodus 6:26,0.70893,the children of Israel out of the Land of Egypt,said Bring out the children of Israel from the land of Egypt according to their armies,Old Testament
"April 30, 1879 ",Exodus 10:15,0.70842,open country the whole face of the Earth covered with,For they covered the face of the whole earth so,Old Testament
"April 15, 1837 ",Exodus 23:15,0.70826,of Ephraim^ thou shalt have a celestial crown Thou shalt,Thou shalt keep the feast of unleavened bread thou shalt,Old Testament
"February 26, 1879 ",Numbers 1:8,0.7082,of the Son of man First to the Saints of,Of Issachar Nethaneel the son of Zuar,Old Testament
"February 26, 1879 ",Numbers 1:9,0.7082,of the Son of man First to the Saints of,Of Zebulun Eliab the son of Helon,Old Testament
"February 26, 1879 ",Numbers 1:13,0.7082,of the Son of man First to the Saints of,Of Asher Pagiel the son of Ocran,Old Testament
"April 7, 1881 ",Exodus 17:12,0.70559,take one side and some the other Out of the,the one side and the other on the other side,Old Testament
"January 13, 1881 ",Leviticus 21:19,0.70507,bear testimony against that Nation or man or house or,Or a man that is brokenfooted or brokenhanded,Old Testament
"February 15, 1849 ",Exodus 40:38,0.7044,of fire by night and cloud by day and in,by day and fire was on it by night in,Old Testament
"March 23, 1837 ",Genesis 24:48,0.70395,of the temple and we bowed down before the Lord,And I bowed down my head and worshipped the Lord,Old Testament
"November 18, 1858 ",Leviticus 20:14,0.70368,take her and make a wife of her and if,And if a man take a wife and her mother,Old Testament
"January 21, 1847 ",Genesis 47:14,0.70138,the children of Israel out of the Land of Egypt,in the land of Egypt and in the land of,Old Testament
