date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 27:9,1.0,the Hearts of the Fathers to the children and the hearts of the children to,the hearts of the fathers to the children and the hearts of the children to,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,1.0,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,1.0,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:26,1.0,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,If thou shalt find that which thy neighbor has lost thou shalt make diligent search,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,1.0,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,1.0,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 27:9,1.0,the Hearts of the Fathers to the children and the hearts of the children to,the hearts of the fathers to the children and the hearts of the children to,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:25,1.0,thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and if,If thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,Doctrine and Covenants
