date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"January 21, 1847 ",2 Kings 6:17,0.872,his eyes may be opened that he may see and,his eyes that he may see And the Lord opened,Old Testament
"December 20, 1850 ",Deuteronomy 33:17,0.87075,push the people together to the Ends of the Earth,he shall push the people together to the ends of,Old Testament
"October 19, 1851 ",Genesis 2:9,0.86416,knowledge of good Evil in the midst of the garden,midst of the garden and the tree of knowledge of good and evil,Old Testament
"February 2, 1838 ",2 Kings 2:23,0.85997,when they said go up thou bald head As with,said unto him Go up thou bald head go up thou bald head,Old Testament
"February 17, 1857 ",Judges 13:9,0.85261,God his voice was as the voice of God and,And God hearkened to the voice of Manoah and the,Old Testament
"January 21, 1847 ",Exodus 6:13,0.85153,the children of Israel out of the Land of Egypt,unto Pharaoh king of Egypt to bring the children of Israel out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 3:15,0.82966,the God of your Fathers the God of Abraham and,fathers the God of Abraham the God of Isaac and,Old Testament
"December 31, 1836 ",Deuteronomy 1:3,0.82642,day of the first month of the Eleventh year of,the eleventh month on the first day of the month,Old Testament
"January 13, 1856 ",Deuteronomy 32:30,0.82001,one chase a thousand and two put ten thousand to,How should one chase a thousand and two put ten,Old Testament
"January 21, 1847 ",Exodus 7:4,0.81555,the children of Israel out of the Land of Egypt,and my people the children of Israel out of the land of Egypt by great judgments,Old Testament
"December 16, 1849 ",Numbers 27:23,0.80665,I laid hands upon him and prayed for him He,And he laid his hands upon him and gave him,Old Testament
"October 6, 1891 ",Exodus 18:19,0.80582,Saints will hearken unto my voice and the counsel of,Hearken now unto my voice I will give thee counsel,Old Testament
"July 5, 1884 ",Genesis 18:18,0.80233,this Nation and all the Nations of the Earth shall,nation and all the nations of the earth shall be blessed in him,Old Testament
"April 15, 1837 ",Deuteronomy 33:17,0.79912,Joseph OT to push the people together to the ends,he shall push the people together to the ends of,Old Testament
"January 21, 1847 ",Numbers 26:4,0.79817,the children of Israel out of the Land of Egypt,of Israel which went forth out of the land of Egypt,Old Testament
"January 23, 1857 ",Exodus 1:3,0.79535,Benjamin Brown and Benjamin Lynn Clapp and George Benjamin Wallace,Issachar Zebulun and Benjamin,Old Testament
"February 12, 1862 ",Genesis 45:25,0.79512,they came out of Egypt into the land of Canaan,And they went up out of Egypt and came into the land of Canaan unto Jacob their father,Old Testament
"June 10, 1845 ",Joshua 21:15,0.79497,with her I walked with her on her return home,And Holon with her suburbs and Debir with her suburbs,Old Testament
"June 10, 1845 ",Joshua 21:14,0.79497,with her I walked with her on her return home,And Jattir with her suburbs and Eshtemoa with her suburbs,Old Testament
"January 21, 1847 ",Deuteronomy 1:15,0.78806,Captains of Hundreds Captains of Fifties and Captains of Tens,thousands and captains over hundreds and captains over fifties and captains over tens and officers among your tribes,Old Testament
"February 17, 1857 ",1 Samuel 17:39,0.78769,and he proved it to them and they had not,assayed to go for he had not proved it And,Old Testament
"January 21, 1847 ",Genesis 31:53,0.78722,the God of your Fathers the God of Abraham and,The God of Abraham and the God of Nahor the,Old Testament
"December 31, 1844 ",Judges 11:26,0.78626,the following towns and Cities Towns and Cities States Towns,Aroer and her towns and in all the cities that,Old Testament
"August 28, 1846 ",1 Samuel 24:18,0.7828,Son thou hast spoken well I have all thou hast,And thou hast shewed this day how that thou hast,Old Testament
"April 30, 1847 ",1 Kings 3:15,0.78097,awoke and behold it was a dream 11 m May,And Solomon awoke and behold it was a dream And,Old Testament
"March 2, 1849 ",Deuteronomy 33:17,0.78089,Joseph used to push the people together from the ends,he shall push the people together to the ends of,Old Testament
"January 13, 1856 ",Ruth 1:1,0.77702,to go to a certain man in a certain street,And a certain man of Bethlehemjudah went to sojourn in,Old Testament
"July 3, 1853 ",Deuteronomy 30:19,0.77578,his text I have set before you life and death,you that I have set before you life and death,Old Testament
"September 8, 1851 ",Numbers 15:3,0.77529,will make an Offering to the Lord and to the,And will make an offering by fire unto the Lord,Old Testament
"August 16, 1884 ",Numbers 27:23,0.77218,and we laid hands upon him and Blessed him W,And he laid his hands upon him and gave him,Old Testament
"October 19, 1883 ",Numbers 19:10,0.76464,"unto the House of Israel ""ye shall be unto me",it shall be unto the children of Israel and unto,Old Testament
"December 31, 1836 ",1 Kings 6:38,0.76384,day of the first month of the Eleventh year of,And in the eleventh year in the month Bul which,Old Testament
"January 6, 1862 ",Exodus 31:3,0.75975,it he was filled with the spirit of God and,And I have filled him with the spirit of God,Old Testament
"January 21, 1847 ",1 Kings 8:9,0.75861,the children of Israel out of the Land of Egypt,Lord made a covenant with the children of Israel when they came out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 3:16,0.75706,the God of your Fathers the God of Abraham and,unto them The Lord God of your fathers the God,Old Testament
"July 18, 1845 ",Joshua 21:15,0.75538,well with her and with her child which was the,And Holon with her suburbs and Debir with her suburbs,Old Testament
"July 18, 1845 ",Joshua 21:14,0.75538,well with her and with her child which was the,And Jattir with her suburbs and Eshtemoa with her suburbs,Old Testament
"August 28, 1846 ",Genesis 19:19,0.75503,Son thou hast spoken well I have all thou hast,and thou hast magnified thy mercy which thou hast shewed,Old Testament
"February 20, 1881 ",Numbers 27:23,0.75354,laid my hands upon him and sealed upon him the,And he laid his hands upon him and gave him,Old Testament
"June 12, 1859 ",Genesis 4:16,0.75323,dwelt in that land as the garden of Eden was,and dwelt in the land of Nod on the east of Eden,Old Testament
"June 13, 1895 ",Genesis 46:7,0.74963,4 sons and 5 daughters 3 sons died in Early,His sons and his sons' sons with him his daughters,Old Testament
"January 21, 1847 ",Exodus 12:51,0.74886,the children of Israel out of the Land of Egypt,Lord did bring the children of Israel out of the land of Egypt by their armies,Old Testament
"September 9, 1843 ",Judges 10:6,0.74794,intends to take away the gods of the gods of,the gods of Moab and the gods of the children,Old Testament
"January 13, 1856 ",Joshua 17:2,0.74728,to the children and the hearts of the children to,children of Asriel and for the children of Shechem and,Old Testament
"April 16, 1847 ",Deuteronomy 1:15,0.74586,4 Captains of fifties and Captains of tens I was,thousands and captains over hundreds and captains over fifties and captains over tens and officers among your tribes,Old Testament
"April 5, 1863 ",Leviticus 24:16,0.74528,told him in the name of the Lord that He,And he that blasphemeth the name of the Lord he,Old Testament
"February 12, 1862 ",Genesis 12:5,0.74456,they came out of Egypt into the land of Canaan,went forth to go into the land of Canaan and into the land of Canaan they came,Old Testament
"June 13, 1847 ",Deuteronomy 8:16,0.74389,of Israel fed with manna in the wilderness But the,Who fed thee in the wilderness with manna which thy,Old Testament
"January 13, 1856 ",Judges 20:10,0.74206,one chase a thousand and two put ten thousand to,thousand and a thousand out of ten thousand to fetch,Old Testament
"December 31, 1857 ",Genesis 18:25,0.74138,the wicked will slay the wicked slay the wicked until,to slay the righteous with the wicked and that the,Old Testament
"September 8, 1851 ",1 Samuel 2:17,0.74029,of the Lord Bring an offering to the Lord I,before the Lord for men abhorred the offering of the Lord,Old Testament
"August 14, 1895 ",Genesis 37:10,0.73984,to go to the office He told his Father he,And he told it to his father and to his,Old Testament
"April 15, 1837 ",Numbers 26:50,0.73837,be numbered with the one hundred forty and four thousand,and they that were numbered of them were forty and five thousand and four hundred,Old Testament
"March 1, 1847 ",2 Samuel 19:35,0.73682,am 40 years old this day [] I wrote 5,I am this day fourscore years old and can I,Old Testament
"October 1, 1841 ",1 Samuel 17:37,0.73615,creek passed by Paw Paw Lee County Illinois a 12,the paw of the lion and out of the paw,Old Testament
"April 30, 1849 ",Joshua 10:23,0.73478,house the King then said I am your king I,the king of Hebron the king of Jarmuth the king of Lachish and the king of Eglon,Old Testament
"July 1, 1838 ",Leviticus 23:24,0.73439,day of the month and the first day of the,month in the first day of the month shall ye,Old Testament
"July 27, 1847 ",Joshua 12:7,0.73347,west of the valley we travled ^2^ miles west from,on the west from Baalgad in the valley of Lebanon,Old Testament
"March 27, 1837 ",1 Kings 9:1,0.73244,building of the house of the Lord in Zion the,building of the house of the Lord and the king's,Old Testament
"January 1, 1852 ",1 Kings 16:13,0.73225,sins and the sins of his household call upon the,For all the sins of Baasha and the sins of,Old Testament
"December 20, 1850 ",Genesis 26:3,0.73086,unto thee thy duty yea and give unto thee many,and will bless thee for unto thee and unto thy,Old Testament
"February 18, 1840 ",Genesis 36:42,0.73053,Granvill the late Duke father of the present Duke of,Duke Kenaz duke Teman duke Mibzar,Old Testament
"February 18, 1840 ",Genesis 36:41,0.73053,Granvill the late Duke father of the present Duke of,Duke Aholibamah duke Elah duke Pinon,Old Testament
"April 30, 1847 ",Genesis 41:7,0.73045,awoke and behold it was a dream 11 m May,full ears And Pharaoh awoke and behold it was a dream,Old Testament
"January 1, 1877 ",Exodus 8:21,0.72926,of thy servants and we Pray O God that thy,thy servants and upon thy people and into thy houses,Old Testament
"October 19, 1883 ",Leviticus 20:26,0.72913,"unto the House of Israel ""ye shall be unto me",And ye shall be holy unto me for I the,Old Testament
"January 21, 1847 ",1 Kings 12:28,0.72874,the children of Israel out of the Land of Egypt,Israel which brought thee up out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 32:4,0.72874,the children of Israel out of the Land of Egypt,Israel which brought thee up out of the land of Egypt,Old Testament
"July 1, 1838 ",Genesis 8:13,0.72844,day of the month and the first day of the,first year in the first month the first day of,Old Testament
"January 6, 1862 ",Exodus 35:31,0.72837,it he was filled with the spirit of God and,And he hath filled him with the spirit of God,Old Testament
"January 21, 1847 ",Numbers 31:48,0.72813,Captains of Hundreds Captains of Fifties and Captains of Tens,the captains of thousands and captains of hundreds came near unto Moses,Old Testament
"April 15, 1837 ",Deuteronomy 28:30,0.72782,of Ephraim^ thou shalt have a celestial crown Thou shalt,with her thou shalt build an house and thou shalt,Old Testament
"January 21, 1847 ",Exodus 33:1,0.72708,the children of Israel out of the Land of Egypt,out of the land of Egypt unto the land which,Old Testament
"January 21, 1847 ",2 Samuel 24:4,0.72605,Captains of Hundreds Captains of Fifties and Captains of Tens,captains of the host And Joab and the captains of,Old Testament
"October 15, 1840 ",1 Kings 9:1,0.72584,concerning the building of the house of the Lord in,building of the house of the Lord and the king's,Old Testament
"December 7, 1863 ",Judges 19:17,0.72506,8 a man in the street by the name of,a wayfaring man in the street of the city and,Old Testament
"June 27, 1839 ",Judges 6:22,0.72461,an angel of God appears unto man face to face,I have seen an angel of the Lord face to face,Old Testament
"July 1, 1838 ",Deuteronomy 1:3,0.72384,day of the month and the first day of the,the eleventh month on the first day of the month,Old Testament
"March 24, 1844 ",Numbers 3:27,0.72246,his family and all the Smith family the heads of,the family of the Izeharites and the family of the,Old Testament
"December 20, 1850 ",Genesis 49:25,0.72226,and spiritual the blessings of Heaven and the blessings of,blessings of heaven above blessings of the deep that lieth under blessings of the breasts and of the womb,Old Testament
"April 30, 1846 ",2 Samuel 19:22,0.7211,Zion If ye are the sons of God ye shall,ye sons of Zeruiah that ye should this day be,Old Testament
"August 23, 1844 ",Deuteronomy 21:5,0.721,feel to bless him in the name of the Lord,unto him and to bless in the name of the,Old Testament
"January 19, 1847 ",Exodus 15:26,0.72068,Heaven to keep all the commandments and statutes of the,his commandments and keep all his statutes I will put,Old Testament
"December 31, 1836 ",Exodus 38:26,0.72035,1st I Travled six thousand five hundred and fifty seven,for six hundred thousand and three thousand and five hundred and fifty men,Old Testament
"June 30, 1838 ",Numbers 32:33,0.71713,of the blessings of the Kingdom of the kingdom of,of Sihon king of the Amorites and the kingdom of,Old Testament
"February 12, 1862 ",Leviticus 25:38,0.71687,they came out of Egypt into the land of Canaan,out of the land of Egypt to give you the land of Canaan and to be your God,Old Testament
"October 8, 1876 ",Genesis 25:26,0.71555,Born But Esau took hold of the heel of Jacob,took hold on Esau's heel and his name was called,Old Testament
"September 15, 1856 ",Deuteronomy 16:11,0.71551,and History of thy church and kingdom and of thy,and thy son and thy daughter and thy manservant and,Old Testament
"June 13, 1895 ",Numbers 26:8,0.71524,4 sons and 5 daughters 3 sons died in Early,And the sons of Pallu Eliab,Old Testament
"April 19, 1847 ",Joshua 13:16,0.7145,of the bank of the river the river on one,bank of the river Arnon and the city that is,Old Testament
"October 8, 1867 ",1 Kings 8:17,0.71378,you in the Name of the Lord God of Israel,to build an house for the name of the Lord God of Israel,Old Testament
"March 18, 1860 ",Judges 3:10,0.71342,followed him I had the spirit of the Lord upon,And the Spirit of the Lord came upon him and,Old Testament
"March 18, 1860 ",Judges 14:19,0.71342,followed him I had the spirit of the Lord upon,And the Spirit of the Lord came upon him and,Old Testament
"March 24, 1844 ",Numbers 26:58,0.71279,his family and all the Smith family the heads of,the Libnites the family of the Hebronites the family of,Old Testament
"January 21, 1847 ",Exodus 13:18,0.71226,the children of Israel out of the Land of Egypt,the wilderness of the Red sea and the children of Israel went up harnessed out of the land of Egypt,Old Testament
"January 21, 1847 ",Exodus 2:23,0.71201,the children of Israel out of the Land of Egypt,the king of Egypt died and the children of Israel,Old Testament
