index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
546,20634,0.7065,1 Kings 9:1,Old Testament,15,665.0,116,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/1dec3d0e-e148-4e64-8873-23ebc831d8f1,1,"the building of the house of the Lord in Kirtland,","building of the house of the Lord, and the king's",1836-11-28|1836-11-29|1836-11-30|1836-12-01
571,27044,0.83528,2 Chronicles 29:20,Old Testament,16,665.0,117,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/810333a0-512b-4e25-a6dc-ce6c7eb57236,1,Sunday I went up to the house of the Lord,"of the city, and went up to the house of the Lord.",1836-12-02|1836-12-03|1836-12-04|1836-12-05|1836-12-06|1836-12-10|1836-12-11
604,27044,0.83528,2 Chronicles 29:20,Old Testament,17,665.0,118,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/9f98d013-1183-4518-a38d-9a7bd03f82f1,1,Sunday I went up to the house of the Lord,"of the city, and went up to the house of the Lord.",1836-12-18|1836-12-19|1836-12-20|1836-12-20|1836-12-22|1836-12-24|1836-12-25
664,20634,0.79124,1 Kings 9:1,Old Testament,18,665.0,119,https://wilfordwoodruffpapers.org/documents/6503e9a4-9e3e-439a-8108-d5d7e86579f8/page/4e09b7ad-b136-4d9a-993c-a250db43c608,1,for the building of the house of the Lord in,"building of the house of the Lord, and the king's",1836-12-27|1836-12-28|1836-12-31
703,94362,0.72267,Doctrine and Covenants 127:12,Doctrine and Covenants,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,the Church of Jesus Christ of Latter Day Saints held,"Lord, prophet and seer of The Church of Jesus Christ of Latter-day Saints.",
703,94551,0.72562,Doctrine and Covenants 128:21,Doctrine and Covenants,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,the Church of Jesus Christ of Latter Day Saints held,tribulations of this Church of Jesus Christ of Latter-day Saints!,
708,10392,0.73117,Deuteronomy 1:3,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,"the eleventh month, on the first day of the month,",
708,20330,0.79315,1 Kings 6:38,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,"And in the eleventh year, in the month Bul, which",
708,25276,0.71199,1 Chronicles 27:14,Old Testament,25,663.0,101,https://wilfordwoodruffpapers.org/documents/4a002fc3-f279-4989-a07c-2c49a0ad2775/page/4778bb6a-0627-4339-93ad-fe38425cfd2c,1,month of the Eleventh year of the Church the meeting,The eleventh captain for the eleventh month was Benaiah the,
1195,97216,0.78702,Joseph Smith--History 1:1,Pearl of Great Price,46,664.0,62,https://wilfordwoodruffpapers.org/documents/6a218997-5d26-4ef8-96ab-3189c690ae66/page/ca3f5f19-c858-48c1-8341-46866611f944,1,year of the rise of the Church of Jesus Christ,rise and progress of The Church of Jesus Christ of,1841-04-06
1262,9785,0.81812,Numbers 27:23,Old Testament,48,664.0,64,https://wilfordwoodruffpapers.org/documents/6a218997-5d26-4ef8-96ab-3189c690ae66/page/9f76b871-d8fb-4636-acc3-236dba729889,1,He then laid his hands upon him and Blessed him,"And he laid his hands upon him, and gave him",
2042,1263,0.8195,Genesis 24:49,Old Testament,70,667.0,236,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ae6572f6-c483-4d44-a516-9aab4037d83f,1,who will not turn to the right hand or left,"I may turn to the right hand, or to the left.",
2042,19001,0.79938,2 Samuel 14:19,Old Testament,70,667.0,236,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ae6572f6-c483-4d44-a516-9aab4037d83f,1,who will not turn to the right hand or left,can turn to the right hand or to the left,
2081,88548,0.77379,Doctrine and Covenants 45:9,Doctrine and Covenants,71,667.0,237,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/ddf7dde5-7933-4e0d-a599-183b2f9eeca6,1,God to the world would be a light in a,"the world, to be a light to the world, and",1844-04-07
2152,71778,0.70265,Alma 1:32,Book of Mormon,73,667.0,239,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/75e2ce43-deb4-4766-9c9c-1e2b556a150e,1,to me He did not belong to a church was,For those who did not belong to their church did,
2169,53382,0.72362,Luke 15:7,New Testament,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,more joy over one sinner that repenteth than over ninety,"heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",
2171,62272,0.70608,Revelation 3:7,New Testament,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,"no man can do a better work, let no man","openeth, and no man shutteth; and shutteth, and no man openeth;",
2171,85885,0.71387,Moroni 7:17,Book of Mormon,74,667.0,240,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/c5ed37e8-ca52-40f9-9c69-65eb2df8da17,1,"no man can do a better work, let no man","work, for he persuadeth no man to do good, no,",
2195,87591,0.7155,Doctrine and Covenants 27:18,Doctrine and Covenants,75,667.0,241,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/4d74520c-0be4-441a-b2ec-f1fe1c9fac23,1,I will in the last days pour out my spirit,"my Spirit, which I will pour out upon you, and",
2209,84660,0.70018,Ether 4:12,Book of Mormon,75,667.0,241,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/4d74520c-0be4-441a-b2ec-f1fe1c9fac23,1,and I believe I am flesh and I believe you,believe me--that I am; and he that will not believe,
2253,94780,0.74994,Doctrine and Covenants 132:24,Doctrine and Covenants,77,667.0,243,https://wilfordwoodruffpapers.org/documents/4bc07661-803e-49db-b843-a6a4421f3a20/page/5f7383d1-ec0d-4303-8d73-b1a473744883,1,this is eternal life to know the only wise God,This is eternal lives--to know the only wise and true,
