index_woodruff,cosine_score,phrase_woodruff,date,phrase_scripture,index_scriptures,verse_title,volume_title,book_title
66149,0.74373,Captains of Hundreds Captains of Fifties and Captains of Tens,"January 21, 1847 ",And appoint presidents and captains of hundreds and of fifties and of tens,6,Doctrine and Covenants 136:15,Doctrine and Covenants,Doctrine and Covenants
66173,0.96173,if ye do this with a pure heart in all,"January 21, 1847 ",And if ye do this with a pure heart in,0,Doctrine and Covenants 136:11,Doctrine and Covenants,Doctrine and Covenants
66174,0.97946,faithfulness ye shall be blessed you shall be blessed in,"January 21, 1847 ",all faithfulness ye shall be blessed you shall be blessed,1,Doctrine and Covenants 136:11,Doctrine and Covenants,Doctrine and Covenants
66175,0.92588,your flocks and in your herds and in your fields,"January 21, 1847 ",in your flocks and in your herds and in your fields and in your houses and in your families,2,Doctrine and Covenants 136:11,Doctrine and Covenants,Doctrine and Covenants
66177,0.86246,servants Ezra Taft Benson and Erastus Snow organize a company,"January 21, 1847 ",Let my servants Ezra T Benson and Erastus Snow organize a company,3,Doctrine and Covenants 136:12,Doctrine and Covenants,Doctrine and Covenants
66179,0.77018,a company Also let my servants Amasa Mason Lyman and,"January 21, 1847 ",Also let my servants Amasa Lyman and George A Smith organize a company,5,Doctrine and Covenants 136:14,Doctrine and Covenants,Doctrine and Covenants
66181,0.89242,Captains of hundreds and of fifties and of tens And,"January 21, 1847 ",And appoint presidents and captains of hundreds and of fifties and of tens,6,Doctrine and Covenants 136:15,Doctrine and Covenants,Doctrine and Covenants
66182,0.8933,let my servants that have been appointed go and teach,"January 21, 1847 ",And let my servants that have been appointed go and,7,Doctrine and Covenants 136:16,Doctrine and Covenants,Doctrine and Covenants
66185,0.70956,way and do as I have told you and fear,"January 21, 1847 ",Go thy way and do as I have told you,9,Doctrine and Covenants 136:17,Doctrine and Covenants,Doctrine and Covenants
66186,0.80282,not thine enemies for they shall not have power to,"January 21, 1847 ",and fear not thine enemies for they shall not have power to stop my work,10,Doctrine and Covenants 136:17,Doctrine and Covenants,Doctrine and Covenants
66380,0.7463,Council captains of Hundreds fifties and tens to further the,"February 15, 1847 ",And appoint presidents and captains of hundreds and of fifties and of tens,6,Doctrine and Covenants 136:15,Doctrine and Covenants,Doctrine and Covenants
78296,0.7229,4 Captains of fifties and Captains of tens I was,"April 16, 1847 ",And appoint presidents and captains of hundreds and of fifties and of tens,6,Doctrine and Covenants 136:15,Doctrine and Covenants,Doctrine and Covenants
